citta,cambi,metodo,parametro,probabilita,errore,secondi,quota_tetto,modello_ritardo
roma,1,convoluzione,5,0.7949673580070682,0.004572641992931836,0.0653466000003391,0.00039699306689440164,sintetico
roma,1,convoluzione,10,0.7949673580070681,0.004572641992931947,0.06370330000027025,0.0003969930668944016,sintetico
roma,1,convoluzione,30,0.7755453440202821,0.02399465597971795,0.061057099999743514,0.0004393399134075046,sintetico
roma,1,convoluzione,60,0.741901261765108,0.05763873823489207,0.05320209999990766,0.0005169087636731153,sintetico
roma,1,montecarlo,100,0.82,0.020459999999999923,0.0017142000006060698,0.0,sintetico
roma,1,montecarlo,1000,0.801,0.0014600000000000168,0.004481099999793514,0.0,sintetico
roma,1,montecarlo,10000,0.8004,0.0008599999999999719,0.014791300000069896,0.0003,sintetico
roma,1,montecarlo,100000,0.79976,0.00021999999999999797,0.09935920000043552,0.00044,sintetico
roma,1,convoluzione,5,0.8100547918873549,0.003695208112645121,0.05884940000032657,3.0945885371109056e-06,sintetico
roma,1,convoluzione,10,0.8100547918873549,0.003695208112645121,0.060550100000000384,3.0945885371109056e-06,sintetico
roma,1,convoluzione,30,0.7921652721161606,0.02158472788383936,0.05469150000044465,3.6940517275939355e-06,sintetico
roma,1,convoluzione,60,0.7602336988192773,0.0535163011807227,0.053746200000205135,4.992189489680383e-06,sintetico
roma,1,montecarlo,100,0.85,0.036250000000000004,0.0014983000000938773,0.0,sintetico
roma,1,montecarlo,1000,0.818,0.004249999999999976,0.003604799999266106,0.0,sintetico
roma,1,montecarlo,10000,0.8167,0.002950000000000008,0.012458999999580556,0.0,sintetico
roma,1,montecarlo,100000,0.81404,0.00029000000000001247,0.0790246999995361,0.0,sintetico
roma,1,convoluzione,5,0.5251600926046637,0.009959907395336365,0.060705099999722734,0.0009069745111700648,sintetico
roma,1,convoluzione,10,0.5251600926046636,0.009959907395336476,0.05468040000050678,0.0009069745111700648,sintetico
roma,1,convoluzione,30,0.4965418706031414,0.03857812939685862,0.054410700000516954,0.0010206382105899686,sintetico
roma,1,convoluzione,60,0.45120503857674016,0.08391496142325988,0.05331179999939195,0.001233236843139546,sintetico
roma,1,montecarlo,100,0.6,0.06487999999999994,0.0018228999997518258,0.0,sintetico
roma,1,montecarlo,1000,0.545,0.00988,0.005646399999932328,0.001,sintetico
roma,1,montecarlo,10000,0.5376,0.0024799999999999267,0.018992499999512802,0.0005,sintetico
roma,1,montecarlo,100000,0.53333,0.0017900000000000693,0.10463259999960428,0.00101,sintetico
roma,3,convoluzione,5,0.16476376988651864,0.006581230113481357,0.1371622999995452,0.011696373574722774,sintetico
roma,3,convoluzione,10,0.16476376988612312,0.006581230113876874,0.12952989999939746,0.011696385597963519,sintetico
roma,3,convoluzione,30,0.14895342580585785,0.022391574194142144,0.11919630000011239,0.013721700876707387,sintetico
roma,3,convoluzione,60,0.12839545461367372,0.04294954538632628,0.1184837000000698,0.018129922348501974,sintetico
roma,3,montecarlo,100,0.19,0.018655000000000005,0.003449600000749342,0.02,sintetico
roma,3,montecarlo,1000,0.154,0.017345,0.010766100000182632,0.036,sintetico
roma,3,montecarlo,10000,0.1668,0.0045449999999999935,0.03230699999949138,0.0371,sintetico
roma,3,montecarlo,100000,0.16894,0.0024049999999999905,0.21037840000008146,0.03759,sintetico
roma,1,convoluzione,5,0.37378036706543516,0.005430367065435149,0.031425600000147824,1.1745895323726524e-06,sintetico
roma,1,convoluzione,10,0.37378036706543516,0.005430367065435149,0.029054999999971187,1.1745895323726524e-06,sintetico
roma,1,convoluzione,30,0.36659071232483154,0.001759287675168475,0.027444199999990815,1.2936568648212126e-06,sintetico
roma,1,convoluzione,60,0.36659059483116746,0.0017594051688325507,0.026692299999922398,1.4920665963562943e-06,sintetico
roma,1,montecarlo,100,0.43,0.06164999999999998,0.0017569999999977881,0.0,sintetico
roma,1,montecarlo,1000,0.37,0.0016499999999999848,0.004271699999662815,0.0,sintetico
roma,1,montecarlo,10000,0.3745,0.006149999999999989,0.0099065000003975,0.0,sintetico
roma,1,montecarlo,100000,0.36674,0.0016100000000000003,0.058400300000357674,0.0,sintetico
roma,2,convoluzione,5,0.3715444637226136,0.0023394637226136217,0.07246370000029856,0.003918437758592369,sintetico
roma,2,convoluzione,10,0.3715444634977134,0.002339463497713412,0.06767349999972794,0.003918448747146022,sintetico
roma,2,convoluzione,30,0.3640732027673327,0.005131797232667323,0.06610129999990022,0.004477990051723717,sintetico
roma,2,convoluzione,60,0.3634855179052534,0.005719482094746597,0.0656578999996782,0.00553764054497276,sintetico
roma,2,montecarlo,100,0.39,0.020795000000000008,0.002238900000520516,0.01,sintetico
roma,2,montecarlo,1000,0.365,0.004205000000000014,0.005367300000216346,0.003,sintetico
