citta,coppia,origine,destinazione,margine_secondi,scadenza,strategia,probabilita,arrivo_programmato,cambi,coincide_con_robusto,ampiezza_frontiera,candidati,modello_ritardo
roma,3,80217,70643,1800,1787729190,robusto,0.9841510756720949,1787727508,3,True,0.6497005841144468,9,sintetico
roma,4,71581,75497,0,1787728462,piu_veloce,0.028704717987378038,1787728462,2,False,5.369822981063019e-05,8,sintetico
roma,4,71581,75497,0,1787728462,meno_cambi,2.0712323327092155e-05,1787728554,1,False,5.369822981063019e-05,8,sintetico
roma,4,71581,75497,0,1787728462,margine_fisso,0.0,1787730010,1,False,5.369822981063019e-05,8,sintetico
roma,4,71581,75497,0,1787728462,robusto,0.02875841621718867,1787728462,3,True,5.369822981063019e-05,8,sintetico
roma,4,71581,75497,300,1787728762,piu_veloce,0.22601304340083464,1787728462,2,False,0.05440312528228289,8,sintetico
roma,4,71581,75497,300,1787728762,meno_cambi,0.2799633439618813,1787728554,1,True,0.05440312528228289,8,sintetico
roma,4,71581,75497,300,1787728762,margine_fisso,0.0,1787730010,1,False,0.05440312528228289,8,sintetico
roma,4,71581,75497,300,1787728762,robusto,0.2799633439618813,1787728554,1,True,0.05440312528228289,8,sintetico
roma,4,71581,75497,600,1787729062,piu_veloce,0.28414541360600953,1787728462,2,False,0.6895260024820717,8,sintetico
roma,4,71581,75497,600,1787729062,meno_cambi,0.7180111610888529,1787728554,1,True,0.6895260024820717,8,sintetico
roma,4,71581,75497,600,1787729062,margine_fisso,0.0,1787730010,1,False,0.6895260024820717,8,sintetico
roma,4,71581,75497,600,1787729062,robusto,0.7180111610888529,1787728554,1,True,0.6895260024820717,8,sintetico
roma,4,71581,75497,900,1787729362,piu_veloce,0.2968920707638586,1787728462,2,False,0.8438931157030023,8,sintetico
roma,4,71581,75497,900,1787729362,meno_cambi,0.9021595978260678,1787728554,1,True,0.8438931157030023,8,sintetico
roma,4,71581,75497,900,1787729362,margine_fisso,0.0,1787730010,1,False,0.8438931157030023,8,sintetico
roma,4,71581,75497,900,1787729362,robusto,0.9021595978260678,1787728554,1,True,0.8438931157030023,8,sintetico
