citta,coppia,origine,destinazione,variante,ammissibile,velocita_m_s,tipo_velocita,trovato,minuti_arrivo,cambi,espansi,secondi,ottimo,pareto_soluzioni
torino,1,3176,3492,pareto,True,,nessuna,True,56.88333333333333,,56903,1.0094368000000031,,4.0
torino,2,3818,1182,astar_ammissibile,True,139.12304705627398,massimo,True,62.05,3.0,12686,0.2973359000002347,True,
torino,2,3818,1182,dijkstra,True,,nessuna,True,62.05,3.0,13463,0.2202967999996872,True,
torino,2,3818,1182,astar_cambi_proiettati,True,139.12304705627398,massimo,True,62.05,3.0,5216,0.10468540000010762,True,
torino,2,3818,1182,astar_p999,False,22.786617056893437,p99.9,True,62.05,3.0,9391,0.2272026000000551,True,
torino,2,3818,1182,pareto,True,,nessuna,True,62.05,,43135,0.9627811000000293,,6.0
torino,3,923,1341,astar_ammissibile,True,139.12304705627398,massimo,True,69.45,3.0,22526,0.4681711000002906,True,
torino,3,923,1341,dijkstra,True,,nessuna,True,69.45,3.0,23153,0.2756182000002809,True,
torino,3,923,1341,astar_cambi_proiettati,True,139.12304705627398,massimo,True,69.45,3.0,7987,0.17908619999980147,True,
torino,3,923,1341,astar_p999,False,22.786617056893437,p99.9,True,69.45,3.0,19648,0.43982969999979105,True,
torino,3,923,1341,pareto,True,,nessuna,True,69.45,,56914,1.2707752999999684,,4.0
torino,4,448,2339,astar_ammissibile,True,139.12304705627398,massimo,False,,,21749,0.25326200000017707,,
torino,4,448,2339,dijkstra,True,,nessuna,False,,,21749,0.16924660000040603,,
torino,4,448,2339,astar_cambi_proiettati,True,139.12304705627398,massimo,False,,,6885,0.07890750000024127,,
torino,4,448,2339,astar_p999,False,22.786617056893437,p99.9,False,,,21749,0.2689123000000109,,
torino,4,448,2339,pareto,True,,nessuna,False,,,25307,0.5221412000000782,,0.0
torino,5,1682,3415,astar_ammissibile,True,139.12304705627398,massimo,True,84.5,4.0,16147,0.285062200000084,True,
torino,5,1682,3415,dijkstra,True,,nessuna,True,84.5,4.0,16549,0.19620850000001155,True,
torino,5,1682,3415,astar_cambi_proiettati,True,139.12304705627398,massimo,True,103.1,4.0,6146,0.07660600000008344,False,
torino,5,1682,3415,astar_p999,False,22.786617056893437,p99.9,True,84.5,4.0,14314,0.27006840000012744,True,
torino,5,1682,3415,pareto,True,,nessuna,True,84.5,,32402,0.6029528000003666,,6.0
torino,6,1905,157,astar_ammissibile,True,139.12304705627398,massimo,True,54.15,4.0,10953,0.3044873999997435,True,
torino,6,1905,157,dijkstra,True,,nessuna,True,54.15,4.0,11316,0.15699399999994057,True,
torino,6,1905,157,astar_cambi_proiettati,True,139.12304705627398,massimo,True,54.15,4.0,4447,0.10610769999993863,True,
torino,6,1905,157,astar_p999,False,22.786617056893437,p99.9,True,54.15,4.0,9530,0.24487109999972745,True,
torino,6,1905,157,pareto,True,,nessuna,True,54.15,,46395,0.9512001999996755,,8.0
torino,7,1516,2738,astar_ammissibile,True,139.12304705627398,massimo,True,19.733333333333334,1.0,439,0.02275869999994029,True,
torino,7,1516,2738,dijkstra,True,,nessuna,True,19.733333333333334,1.0,462,0.009852000000137195,True,
torino,7,1516,2738,astar_cambi_proiettati,True,139.12304705627398,massimo,True,19.733333333333334,1.0,161,0.008623499999885098,True,
torino,7,1516,2738,astar_p999,False,22.786617056893437,p99.9,True,19.733333333333334,1.0,380,0.0203521999997065,True,
torino,7,1516,2738,pareto,True,,nessuna,True,19.733333333333334,,24097,0.24977939999962473,,3.0
torino,8,1329,1779,astar_ammissibile,True,139.12304705627398,massimo,True,86.7,4.0,18629,0.32680649999974776,True,
torino,8,1329,1779,dijkstra,True,,nessuna,True,86.7,4.0,19060,0.3065033999996558,True,
torino,8,1329,1779,astar_cambi_proiettati,True,139.12304705627398,massimo,True,86.7,4.0,8407,0.13847800000030475,True,
torino,8,1329,1779,astar_p999,False,22.786617056893437,p99.9,True,86.7,4.0,16483,0.38849670000035985,True,
torino,8,1329,1779,pareto,True,,nessuna,True,86.7,,37553,1.0667454000004,,3.0
torino,9,1484,380,astar_ammissibile,True,139.12304705627398,massimo,True,30.616666666666667,4.0,5049,0.27791590000015276,True,
torino,9,1484,380,dijkstra,True,,nessuna,True,30.616666666666667,4.0,5301,0.12235429999964254,True,
torino,9,1484,380,astar_cambi_proiettati,True,139.12304705627398,massimo,True,30.616666666666667,4.0,1472,0.07119040000043242,True,
torino,9,1484,380,astar_p999,False,22.786617056893437,p99.9,True,30.616666666666667,4.0,3830,0.1785024999999223,True,
torino,9,1484,380,pareto,True,,nessuna,True,30.616666666666667,,47289,0.7756281000001763,,8.0
torino,10,118,194,astar_ammissibile,True,139.12304705627398,massimo,True,76.18333333333334,3.0,8752,0.20048210000004474,True,
torino,10,118,194,dijkstra,True,,nessuna,True,76.18333333333334,3.0,9176,0.13850330000013855,True,
torino,10,118,194,astar_cambi_proiettati,True,139.12304705627398,massimo,True,76.18333333333334,3.0,2936,0.05876159999979791,True,
torino,10,118,194,astar_p999,False,22.786617056893437,p99.9,True,76.18333333333334,3.0,6861,0.32163500000024214,True,
torino,10,118,194,pareto,True,,nessuna,True,76.18333333333334,,29168,0.8221651999997448,,2.0
torino,11,1538,1425,astar_ammissibile,True,139.12304705627398,massimo,True,29.583333333333332,3.0,3596,0.1607416000001649,True,
torino,11,1538,1425,dijkstra,True,,nessuna,True,29.583333333333332,3.0,3659,0.0868399999999383,True,
torino,11,1538,1425,astar_cambi_proiettati,True,139.12304705627398,massimo,True,29.583333333333332,3.0,1053,0.04966950000016368,True,
torino,11,1538,1425,astar_p999,False,22.786617056893437,p99.9,True,29.583333333333332,3.0,2948,0.16429310000012265,True,
torino,11,1538,1425,pareto,True,,nessuna,True,29.583333333333332,,59800,1.0851260999997976,,9.0
torino,12,1636,1129,astar_ammissibile,True,139.12304705627398,massimo,True,68.4,3.0,9086,0.2089867000004233,True,
torino,12,1636,1129,dijkstra,True,,nessuna,True,68.4,3.0,9404,0.15314730000000054,True,
torino,12,1636,1129,astar_cambi_proiettati,True,139.12304705627398,massimo,True,68.4,3.0,3302,0.07561450000002878,True,
torino,12,1636,1129,astar_p999,False,22.786617056893437,p99.9,True,68.4,3.0,7638,0.20650920000025508,True,
torino,12,1636,1129,pareto,True,,nessuna,True,68.4,,26562,0.49605549999978393,,3.0
torino,13,3641,276,astar_ammissibile,True,139.12304705627398,massimo,True,64.66666666666667,3.0,15481,0.47380489999977726,True,
torino,13,3641,276,dijkstra,True,,nessuna,True,64.66666666666667,3.0,15882,0.26435769999989134,True,
torino,13,3641,276,astar_cambi_proiettati,True,139.12304705627398,massimo,True,68.88333333333334,2.0,4424,0.08139739999978701,False,
torino,13,3641,276,astar_p999,False,22.786617056893437,p99.9,True,64.66666666666667,3.0,13194,0.3653908000001138,True,
torino,13,3641,276,pareto,True,,nessuna,True,64.66666666666667,,39628,0.9086437000000842,,5.0
torino,14,3247,2018,astar_ammissibile,True,139.12304705627398,massimo,True,102.56666666666666,4.0,22978,0.33615740000004735,True,
torino,14,3247,2018,dijkstra,True,,nessuna,True,102.56666666666666,4.0,23704,0.2230874000001677,True,
torino,14,3247,2018,astar_cambi_proiettati,True,139.12304705627398,massimo,True,102.56666666666666,4.0,8261,0.10784409999996569,True,
torino,14,3247,2018,astar_p999,False,22.786617056893437,p99.9,True,102.56666666666666,4.0,19422,0.31328910000001997,True,
torino,14,3247,2018,pareto,True,,nessuna,True,102.56666666666666,,30900,0.7601451000000452,,1.0
torino,15,944,1544,astar_ammissibile,True,139.12304705627398,massimo,True,51.016666666666666,2.0,19097,0.5069260000000213,True,
torino,15,944,1544,dijkstra,True,,nessuna,True,51.016666666666666,2.0,19920,0.3662571999998363,True,
torino,15,944,1544,astar_cambi_proiettati,True,139.12304705627398,massimo,True,51.016666666666666,2.0,6188,0.16291400000000067,True,
torino,15,944,1544,astar_p999,False,22.786617056893437,p99.9,True,51.016666666666666,2.0,15522,0.5136367999998583,True,
torino,15,944,1544,pareto,True,,nessuna,True,51.016666666666666,,46182,0.6446573999996872,,2.0
torino,16,4835,3509,astar_ammissibile,True,139.12304705627398,massimo,False,,,1507,0.014686099999835278,,
torino,16,4835,3509,dijkstra,True,,nessuna,False,,,1507,0.009156399999938003,,
torino,16,4835,3509,astar_cambi_proiettati,True,139.12304705627398,massimo,False,,,440,0.00408160000006319,,
torino,16,4835,3509,astar_p999,False,22.786617056893437,p99.9,False,,,1507,0.013906000000133645,,
torino,16,4835,3509,pareto,True,,nessuna,False,,,492,0.004939199999625998,,0.0
torino,17,790,3086,astar_ammissibile,True,139.12304705627398,massimo,True,19.216666666666665,1.0,629,0.03991309999992154,True,
torino,17,790,3086,dijkstra,True,,nessuna,True,19.216666666666665,1.0,651,0.024584499999946274,True,
torino,17,790,3086,astar_cambi_proiettati,True,139.12304705627398,massimo,True,19.216666666666665,1.0,198,0.011962000000039552,True,
torino,17,790,3086,astar_p999,False,22.786617056893437,p99.9,True,19.216666666666665,1.0,537,0.029635799999596202,True,
torino,17,790,3086,pareto,True,,nessuna,True,19.216666666666665,,10095,0.0842928000001848,,4.0
torino,18,333,550,astar_ammissibile,True,139.12304705627398,massimo,True,52.06666666666667,4.0,9603,0.28591640000013285,True,
torino,18,333,550,dijkstra,True,,nessuna,True,52.06666666666667,4.0,9918,0.15373539999973218,True,
torino,18,333,550,astar_cambi_proiettati,True,139.12304705627398,massimo,True,52.06666666666667,4.0,3669,0.08541809999996985,True,
torino,18,333,550,astar_p999,False,22.786617056893437,p99.9,True,52.06666666666667,4.0,8494,0.22527080000008937,True,
torino,18,333,550,pareto,True,,nessuna,True,52.06666666666667,,42881,0.8429186999997,,7.0
torino,19,1552,396,astar_ammissibile,True,139.12304705627398,massimo,True,39.0,2.0,4280,0.13891749999993408,True,
torino,19,1552,396,dijkstra,True,,nessuna,True,39.0,2.0,4701,0.07697710000002189,True,
torino,19,1552,396,astar_cambi_proiettati,True,139.12304705627398,massimo,True,39.0,2.0,1321,0.04563079999979891,True,
torino,19,1552,396,astar_p999,False,22.786617056893437,p99.9,True,39.0,2.0,2845,0.09482580000030794,True,
torino,19,1552,396,pareto,True,,nessuna,True,39.0,,27100,0.32530999999971755,,3.0
torino,20,902,2169,astar_ammissibile,True,139.12304705627398,massimo,True,58.0,2.0,18320,0.4341689999996561,True,
torino,20,902,2169,dijkstra,True,,nessuna,True,58.0,2.0,19095,0.2930231999998796,True,
torino,20,902,2169,astar_cambi_proiettati,True,139.12304705627398,massimo,True,58.0,2.0,5426,0.13739029999987906,True,
torino,20,902,2169,astar_p999,False,22.786617056893437,p99.9,True,58.0,2.0,14975,0.413535800000318,True,
torino,20,902,2169,pareto,True,,nessuna,True,58.0,,70693,1.6448716999998396,,16.0
torino,21,7895,3524,astar_ammissibile,True,139.12304705627398,massimo,True,82.05,4.0,3853,0.07050960000015039,True,
torino,21,7895,3524,dijkstra,True,,nessuna,True,82.05,4.0,3965,0.051517299999886745,True,
torino,21,7895,3524,astar_cambi_proiettati,True,139.12304705627398,massimo,True,82.05,4.0,1779,0.03594410000005155,True,
torino,21,7895,3524,astar_p999,False,22.786617056893437,p99.9,True,82.05,4.0,3446,0.06645699999990029,True,
torino,21,7895,3524,pareto,True,,nessuna,True,82.05,,11282,0.1815470000001369,,4.0
torino,22,1261,4684,astar_ammissibile,True,139.12304705627398,massimo,False,,,86891,1.0835096999999223,,
torino,22,1261,4684,dijkstra,True,,nessuna,False,,,86891,0.7930427000001146,,
torino,22,1261,4684,astar_cambi_proiettati,True,139.12304705627398,massimo,False,,,26027,0.2920083999997587,,
torino,22,1261,4684,astar_p999,False,22.786617056893437,p99.9,False,,,86891,1.063391600000159,,
torino,22,1261,4684,pareto,True,,nessuna,False,,,67512,1.4687584999996943,,0.0
torino,23,8021,2052,astar_ammissibile,True,139.12304705627398,massimo,True,90.03333333333333,4.0,38069,0.6006618000001254,True,
torino,23,8021,2052,dijkstra,True,,nessuna,True,90.03333333333333,4.0,39407,0.40789660000018557,True,
torino,23,8021,2052,astar_cambi_proiettati,True,139.12304705627398,massimo,True,90.03333333333333,4.0,13616,0.18909789999997884,True,
torino,23,8021,2052,astar_p999,False,22.786617056893437,p99.9,True,90.03333333333333,4.0,32023,0.5384030000000166,True,
torino,23,8021,2052,pareto,True,,nessuna,True,90.03333333333333,,56890,1.480749299999843,,3.0
torino,24,6501,628,astar_ammissibile,True,139.12304705627398,massimo,False,,,3039,0.032464799999615934,,
torino,24,6501,628,dijkstra,True,,nessuna,False,,,3039,0.019212400000014895,,
torino,24,6501,628,astar_cambi_proiettati,True,139.12304705627398,massimo,False,,,911,0.008160100000168313,,
torino,24,6501,628,astar_p999,False,22.786617056893437,p99.9,False,,,3039,0.030446600000232138,,
torino,24,6501,628,pareto,True,,nessuna,False,,,1686,0.019007299999884708,,0.0
torino,25,3698,3482,astar_ammissibile,True,139.12304705627398,massimo,True,51.0,4.0,16336,0.4679621000000225,True,
